,,min_Predicted_TOTAL,avg_Predicted_TOTAL,max_Predicted_TOTAL,min_GEOTHERMAL,avg_GEOTHERMAL,max_GEOTHERMAL,min_total_renewable,avg_total_renewable,max_total_renewable,min_WIND TOTAL,avg_WIND TOTAL,max_WIND TOTAL,min_SMALL HYDRO,avg_SMALL HYDRO,max_SMALL HYDRO,min_BIOMASS,avg_BIOMASS,max_BIOMASS
3,2012,73.99705,1042.3027944032258,2517.323,874.0,970.9529569892474,1022.0,1610.0,1914.0,2403.0,78.0,1040.8051075268818,2574.0,188.0,293.55913978494624,398.0,287.0,357.11021505376345,418.0
3,2014,5.6651607,1401.2833815452957,3773.029,0.0,877.7836021505376,903.0,0.0,2799.3279569892475,5745.0,0.0,1406.233870967742,3824.0,0.0,191.6008064516129,317.0,0.0,340.2876344086022,371.0
3,2015,0.20678283,1072.7800309528495,3966.1565,0.0,1013.8400537634409,1069.0,0.0,3315.3790322580644,7535.0,0.0,1060.5873655913979,3971.0,0.0,153.1290322580645,295.0,0.0,268.6653225806452,315.0
3,2016,0.25185,1808.2522735215052,3926.5083,0.0,1025.8494623655913,1078.0,0.0,3789.0094086021504,9357.0,0.0,1809.6908602150538,3984.0,0.0,376.00940860215053,543.0,0.0,229.06586021505376,262.0
4,2010,1.9984907,798.355999330303,1755.3553,985.0,1052.5795454545455,1098.0,1741.0,1907.405303030303,2188.0,-2.0,788.8068181818181,1746.0,238.0,294.74242424242425,323.0,218.0,287.625,330.0
4,2011,28.061468,1244.1392443194443,2346.7334,800.0,1022.7013888888889,1058.0,1584.0,2085.4513888888887,2498.0,30.0,1239.4875,2380.0,430.0,515.6833333333333,586.0,180.0,272.875,346.0
4,2012,7.0441813,1113.0204600275,2660.6167,917.0,984.625,1042.0,1652.0,2036.35,2560.0,11.0,1107.7416666666666,2678.0,325.0,394.6722222222222,460.0,206.0,266.78055555555557,337.0
4,2013,38.204685,2201.706136120833,4001.2834,773.0,892.9805555555556,944.0,1545.0,2226.2430555555557,3533.0,31.0,2189.1625,4071.0,247.0,335.4291666666667,422.0,214.0,268.25416666666666,329.0
4,2014,24.9846,1804.632750009722,4681.804,747.0,883.8388888888888,899.0,1531.0,3059.7277777777776,6063.0,20.0,1806.4583333333333,4670.0,158.0,263.0444444444444,401.0,227.0,299.5180555555556,359.0
4,2015,15.336085,1734.9422089375,3876.8113,892.0,1010.1472222222222,1058.0,1481.0,3652.177777777778,7594.0,21.0,1728.0125,3953.0,73.0,144.61527777777778,268.0,200.0,257.44444444444446,293.0
4,2016,43.260468,1930.7371523861111,4557.4194,852.0,1008.0569444444444,1051.0,1677.0,4287.731944444445,9473.0,47.0,1927.1416666666667,4622.0,319.0,445.5236111111111,581.0,132.0,220.20416666666668,262.0
4,2017,15.599029,1908.3213409694445,4288.6875,777.0,902.6180555555555,948.0,1616.0,5041.4375,11560.0,15.0,1907.725,4297.0,406.0,506.275,628.0,119.0,189.59583333333333,231.0
5,2010,26.695225,898.1246049690861,1679.9722,957.0,1046.5470430107528,1092.0,1637.0,1921.8198924731182,2300.0,27.0,894.2567204301075,1681.0,290.0,354.02016129032256,422.0,161.0,227.01747311827958,326.0
5,2011,22.782576,1255.4930005806452,2290.9592,745.0,990.8118279569892,1083.0,1682.0,2064.543010752688,2485.0,19.0,1256.1948924731182,2323.0,470.0,533.2903225806451,577.0,170.0,258.3293010752688,381.0
5,2012,47.452705,1736.2537077526883,2879.5796,738.0,973.733870967742,1045.0,1746.0,2152.2096774193546,2813.0,43.0,1745.1424731182797,2923.0,366.0,451.59139784946234,550.0,251.0,304.6989247311828,392.0
5,2013,74.8398,2288.2023002553765,4083.6064,785.0,875.7123655913979,927.0,1585.0,2332.043010752688,3721.0,47.0,2298.755376344086,4128.0,284.0,364.01747311827955,445.0,219.0,311.130376344086,372.0
5,2015,318.5795,2231.4166206317204,4062.7876,884.0,1003.9354838709677,1057.0,1438.0,3654.3077956989246,7775.0,319.0,2250.2486559139784,4298.0,88.0,175.64247311827958,332.0,133.0,241.69892473118279,327.0
5,2016,103.190895,2179.1404867405913,4606.115,817.0,970.8279569892474,1020.0,1544.0,4612.955645161291,9486.0,84.0,2174.2943548387098,4676.0,302.0,433.13575268817203,573.0,126.0,168.48655913978496,228.0
